time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-12-06T04:59:12.080Z,-4.542,138.192,33,5.2,mb,,,,1.5,us,usp00064rm,2014-11-07T00:54:33.907Z,"Papua, Indonesia",earthquake,,,,7,reviewed,us,us
1993-12-05T19:37:01.450Z,-6.467,130.426,136.9,5.4,mw,,,,1.1,us,usp00064r3,2016-11-10T00:07:56.531Z,"Banda Sea",earthquake,,,,,reviewed,us,hrv
1993-12-05T09:34:58.980Z,-4.266,142.974,125.6,4.6,mb,,,,0.6,us,usp00064q7,2014-11-07T00:54:33.678Z,"New Guinea, Papua New Guinea",earthquake,,12.8,,2,reviewed,us,us
1993-12-04T17:21:23.260Z,-3.59,131.256,33,5.5,mw,,,,1.1,us,usp00064nc,2016-11-10T00:07:27.252Z,"Ceram Sea, Indonesia",earthquake,,,,,reviewed,us,hrv
1993-12-04T12:55:46.330Z,-3.62,131.248,33,5,mb,,,,0.9,us,usp00064n7,2014-11-07T00:54:33.023Z,"Ceram Sea, Indonesia",earthquake,,,,15,reviewed,us,us
1993-12-01T19:44:54.630Z,2.367,125.506,33,4.9,mb,,,,1,us,usp00064hj,2014-11-07T00:54:31.412Z,"Kepulauan Sangihe, Indonesia",earthquake,,,,9,reviewed,us,us
1993-12-01T19:13:34.010Z,-5.28,131.16,106.1,5.1,mb,,,,1,us,usp00064hh,2014-11-07T00:54:31.390Z,"Banda Sea",earthquake,,,,19,reviewed,us,us
1993-12-01T03:54:42.210Z,-4.276,127.594,254.2,4.8,mb,,,,1.1,us,usp00064gg,2014-11-07T00:54:30.093Z,"Banda Sea",earthquake,,17.8,,9,reviewed,us,us
1993-12-01T01:51:06.590Z,-2.544,139.828,33,5.2,mb,,,,1.2,us,usp00064gb,2014-11-07T00:54:29.982Z,"near the north coast of Papua, Indonesia",earthquake,,,,15,reviewed,us,us
1993-11-30T20:06:48.300Z,-7.334,129.138,145.9,4.4,mb,,,,0.5,us,usp00064g2,2014-11-07T00:54:28.273Z,"Kepulauan Babar, Indonesia",earthquake,,57.2,,1,reviewed,us,us
1993-11-30T03:21:31.470Z,-3.58,101.601,45.2,5.1,mb,,,,1.1,us,usp00064ey,2014-11-07T00:54:28.176Z,"southern Sumatra, Indonesia",earthquake,,,,17,reviewed,us,us
1993-11-29T19:42:29.230Z,-7.208,93.84,10,5.1,mb,,,,1,us,usp00064eb,2014-11-07T00:54:28.098Z,"South Indian Ocean",earthquake,,,,26,reviewed,us,us
1993-11-29T13:44:49.110Z,2.394,121.215,37,4.9,mb,,,,0.7,us,usp00064dv,2014-11-07T00:54:28.065Z,"Celebes Sea",earthquake,,8.2,,14,reviewed,us,us
1993-11-29T07:32:05.590Z,-0.105,123.005,145.5,5.1,mb,,,,1.1,us,usp00064dm,2014-11-07T00:54:28.032Z,"Sulawesi, Indonesia",earthquake,,7,,53,reviewed,us,us
1993-11-28T12:40:49.560Z,-3.827,128.726,142.3,5,mb,,,,1.1,us,usp00064cn,2014-11-07T00:54:27.918Z,"Seram, Indonesia",earthquake,,,,19,reviewed,us,us
1993-11-27T07:42:31.230Z,-6.898,130.484,117.1,5.1,mb,,,,0.8,us,usp00064ab,2014-11-07T00:54:27.686Z,"Banda Sea",earthquake,,13.6,,4,reviewed,us,us
1993-11-26T21:12:30.450Z,-3.355,129.765,33,5,mb,,,,1.1,us,usp000649k,2014-11-07T00:54:27.503Z,"Seram, Indonesia",earthquake,,,,2,reviewed,us,us
1993-11-26T17:14:56.400Z,-7.301,128.543,118.7,5,mb,,,,0.9,us,usp0006498,2014-11-07T00:54:27.483Z,"Kepulauan Barat Daya, Indonesia",earthquake,,25.6,,4,reviewed,us,us
1993-11-26T12:08:05.550Z,-8.765,123.953,35.5,5,mb,,,,1.1,us,usp000648s,2014-11-07T00:54:27.447Z,"Flores region, Indonesia",earthquake,,27.5,,6,reviewed,us,us
1993-11-26T10:53:36.620Z,2.199,126.959,70.3,5,mb,,,,1.1,us,usp000648n,2014-11-07T00:54:27.437Z,"Molucca Sea",earthquake,,8.9,,20,reviewed,us,us
1993-11-25T21:47:06.660Z,-8.118,122.914,230.3,4.5,mb,,,,0.7,us,usp000647w,2014-11-07T00:54:27.377Z,"Flores region, Indonesia",earthquake,,27.1,,4,reviewed,us,us
1993-11-24T22:54:00.130Z,-7.382,125.81,32,4.7,mb,,,,1.1,us,usp000645z,2014-11-07T00:54:27.089Z,"Kepulauan Barat Daya, Indonesia",earthquake,,,,10,reviewed,us,us
1993-11-24T12:29:48.390Z,5.85,126.254,59,5,mb,,,,1,us,usp0006456,2014-11-07T00:54:27.032Z,"Mindanao, Philippines",earthquake,,8.3,,24,reviewed,us,us
1993-11-24T02:40:17.380Z,-2.376,141.167,33.5,5.4,mw,,,,1.1,us,usp000644g,2016-11-10T00:02:45.719Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
1993-11-23T15:34:55.250Z,-4.244,129.62,120,5.2,mb,,,,0.9,us,usp000643w,2014-11-07T00:54:26.845Z,"Banda Sea",earthquake,,,,4,reviewed,us,us
1993-11-23T15:02:13.020Z,6.43,125.827,160.5,5.4,mw,,,,1.2,us,usp000643t,2016-11-10T00:02:10.144Z,"Mindanao, Philippines",earthquake,,5.3,,,reviewed,us,hrv
1993-11-23T02:10:30.200Z,3.926,126.771,68.1,4.3,mb,,,,1.4,us,usp000642x,2014-11-07T00:54:26.775Z,"Kepulauan Talaud, Indonesia",earthquake,,26.7,,3,reviewed,us,us
1993-11-22T04:16:51.240Z,-7.343,128.976,33,4.4,mb,,,,0.3,us,usp000641d,2014-11-07T00:54:26.337Z,"Kepulauan Barat Daya, Indonesia",earthquake,,,,1,reviewed,us,us
1993-11-22T03:00:55.820Z,5.877,126.229,38,5.9,mwb,,,,1.2,us,usp0006419,2020-01-03T18:52:52.109Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1993-11-21T12:58:48.040Z,-3.902,130.801,33,4.5,mb,,,,1,us,usp000640g,2014-11-07T00:54:26.235Z,"Seram, Indonesia",earthquake,,,,4,reviewed,us,us
1993-11-19T11:53:18.150Z,1.838,126.465,33,4.6,mb,,,,1.4,us,usp00063x1,2014-11-07T00:54:25.823Z,"Molucca Sea",earthquake,,,,5,reviewed,us,us
1993-11-19T05:55:12.510Z,7.964,126.973,34,4.8,mb,,,,1.5,us,usp00063wg,2014-11-07T00:54:25.735Z,"Mindanao, Philippines",earthquake,,,,21,reviewed,us,us
1993-11-19T01:06:02.780Z,7.9,127.514,33,4.6,mb,,,,1.6,us,usp00063vx,2014-11-07T00:54:25.487Z,"Philippine Islands region",earthquake,,,,4,reviewed,us,us
1993-11-18T13:07:48.660Z,2.376,126.584,33,4.9,mb,,,,1,us,usp00063vc,2014-11-07T00:54:25.437Z,"Molucca Sea",earthquake,,,,19,reviewed,us,us
